dist_img	ref_img	dmos	var	 	mse	psnr	ssim	sg_essim	ffs	lgv
I01_01_01.png	I01.png	4.57	0.496	 	0.0	inf	1.0	1.0	0.002214839704049185	1.0
I01_01_02.png	I01.png	4.33	0.869	 	6.1334788004557295	40.253734923357456	0.9939774185296644	0.9997752167262103	0.2752797629465986	0.9998035804521089
I01_01_03.png	I01.png	2.67	0.789	 	49.25329250759549	31.206450931391455	0.9493885698087916	0.9967706128152308	0.3801537477611058	0.9977083354251155
I01_01_04.png	I01.png	1.67	0.596	 	132.20220269097223	26.91841669647448	0.8609657438633939	0.982600594064556	0.47596027299442106	0.9889938461264359
I01_01_05.png	I01.png	1.1	0.3	 	584.1752149793837	20.46537233814132	0.7053601632520432	0.9310076604626282	0.5896379961932422	0.9673071036312165
I01_02_01.png	I01.png	3.83	0.86	 	20.119155883789062	35.09470605294298	0.979462505920091	0.9991577218434418	0.3199379496034333	0.99934890063823
I01_02_02.png	I01.png	2.27	0.772	 	67.53421020507812	29.835565355985366	0.9303252469568796	0.995210272694217	0.39840693419630313	0.996769914341474
I01_02_03.png	I01.png	1.53	0.67	 	169.8662363688151	25.82973296395007	0.8213676311719036	0.9749471182950261	0.49935606449988496	0.9845309424210301
I01_02_04.png	I01.png	1.23	0.418	 	341.78899637858075	22.793222840191415	0.7443710807413492	0.9481567310577966	0.54623388254748	0.9724512294184507
I01_02_05.png	I01.png	1.2	0.4	 	588.4160817464193	20.433958271348395	0.6931464883785691	0.9278504030564099	0.588263633822723	0.965472453949285
I01_03_01.png	I01.png	4.73	0.442	 	0.0	inf	1.0	1.0	0.002214839704049185	1.0
I01_03_02.png	I01.png	3.97	0.657	 	17.79993353949653	35.62661980103051	0.9843204118327579	0.9993425148900351	0.31750840252910933	0.9994177385672547
I01_03_03.png	I01.png	2.7	0.936	 	58.886544121636284	30.430642932682865	0.9426994557148104	0.9956308851999426	0.39484066977515864	0.9970712513889133
I01_03_04.png	I01.png	2.03	0.795	 	100.94742329915364	28.08985122890292	0.9001438928452443	0.9887478263870856	0.44278148644843185	0.993506266560492
I01_03_05.png	I01.png	1.5	0.5	 	199.40870836046008	25.13336240441363	0.8074289533301137	0.964414548978637	0.520853568308917	0.980055661694752
I01_04_01.png	I01.png	4.73	0.512	 	12.366704305013021	37.208263841853636	0.978851827080211	0.9998461364167444	0.3362878461658253	0.999866380684618
I01_04_02.png	I01.png	2.17	1.035	 	4182.688557942708	11.916248325536952	0.6464719242970282	0.9874292779131718	0.45697953481854403	0.993229774249499
I01_04_03.png	I01.png	1.37	0.547	 	6466.57948981391	10.024057404018778	0.5409233406921946	0.9693123053642624	0.5018892253631844	0.9852060497190981
I01_04_04.png	I01.png	1.5	0.619	 	7704.078542073567	9.263596591533961	0.49823782033919795	0.9576633536496795	0.5241432794663525	0.9811627771107371
I01_04_05.png	I01.png	1.47	0.806	 	11048.741656833225	7.697675419067353	0.43812840163896416	0.9197980704245398	0.550130496067648	0.9722948773682907
I01_05_01.png	I01.png	4.0	0.856	 	42.09256150987413	31.888750056650444	0.9862763503327948	0.9969635818344756	0.4259551106320105	0.9978660788130879
I01_05_02.png	I01.png	2.2	0.909	 	97.31358506944444	28.249068884427288	0.9719750514573656	0.9904447592905287	0.4823260649857011	0.9938800504711164
I01_05_03.png	I01.png	1.57	0.559	 	123.78626505533855	27.20407901495549	0.966725668891503	0.987396288375621	0.5013746571583158	0.9923973509751756
I01_05_04.png	I01.png	1.33	0.537	 	129.24698215060764	27.0165994953241	0.9676020698481332	0.9871215288910932	0.500598547875867	0.9928901935320287
I01_05_05.png	I01.png	1.6	0.611	 	126.02492268880208	27.12623921179757	0.9675187621702692	0.9883139439919733	0.5012731214673376	0.9929066784855819
I01_06_01.png	I01.png	4.23	0.761	 	80.97730000813802	29.047170686913226	0.8055226205148683	0.9977939370419833	0.3616420368792335	0.9986098564429344
I01_06_02.png	I01.png	4.4	0.554	 	90.1583268907335	28.58074517156215	0.7512999036745275	0.997178191439409	0.3695552196207948	0.9981783919087883
I01_06_03.png	I01.png	3.9	0.943	 	115.51075744628906	27.50457929176454	0.6999401413780627	0.9958375394534439	0.3843261319120776	0.9975646569425963
I01_06_04.png	I01.png	2.9	0.831	 	616.0890604654948	20.234368635201267	0.6053854358266262	0.9891805801130223	0.4214962215238785	0.9940621275854631
I01_06_05.png	I01.png	2.27	0.929	 	1070.0088195800781	17.83693003482537	0.45267548354008147	0.975286012746154	0.4631666145277393	0.9882003471177868
I01_07_01.png	I01.png	2.73	1.123	 	1139.368860880534	17.56416014917474	0.9011274685721764	0.9925936944107366	0.42375586231036416	0.9959061910402501
I01_07_02.png	I01.png	2.5	1.025	 	2025.4620412190754	15.065562522984726	0.8657063263704107	0.9869172011702241	0.4680741786090343	0.9930880770815976
I01_07_03.png	I01.png	2.27	1.062	 	2565.2085893419053	14.039576754290602	0.8480190827567915	0.9834260587191253	0.48722211784474645	0.9914649844368703
I01_07_04.png	I01.png	2.47	1.147	 	3164.529534233941	13.127712076119751	0.8307617735465486	0.9794407244190206	0.5038940503760978	0.9897430828710062
I01_07_05.png	I01.png	2.2	0.945	 	3693.218529595269	12.456753550340236	0.7838716634214661	0.953871662284287	0.5497913080381037	0.9837736769882858
I01_08_01.png	I01.png	4.7	0.458	 	0.0	inf	1.0	1.0	0.002214839704049185	1.0
I01_08_02.png	I01.png	3.77	0.616	 	1990.445339626736	15.141301051092773	0.7508219110313107	0.9928113275679058	0.43650730680601285	0.9961860400470264
I01_08_03.png	I01.png	2.73	1.062	 	4228.983481513129	11.868443720798911	0.6348293601387431	0.9870977098572903	0.45421519820837336	0.9928962209924102
I01_08_04.png	I01.png	1.97	0.912	 	6114.5821041531035	10.267135799636453	0.542890294034489	0.9594723251575902	0.5001003496695546	0.9834867192638943
I01_08_05.png	I01.png	1.67	0.699	 	8058.8379465738935	9.068079381415872	0.4567469987040344	0.9169054129146387	0.5475020816721071	0.9735451647267835
I01_09_01.png	I01.png	4.6	0.49	 	2.9561055501302085	43.423604240339145	0.9805095530610902	0.9997809733644621	0.28851638653792616	0.9997546781686459
I01_09_02.png	I01.png	4.67	0.537	 	9.540825737847221	38.33494397288397	0.9538269633591637	0.998538852176746	0.35517797494867037	0.9988509480318499
I01_09_03.png	I01.png	4.4	0.611	 	16.80188666449653	35.877223099768464	0.9325365602338377	0.9966013009626528	0.3858253505560511	0.9978881561494571
I01_09_04.png	I01.png	2.9	1.044	 	63.73542616102431	30.086994668431743	0.8510120294672608	0.9813397827754989	0.45731193061181846	0.9927011188321435
I01_09_05.png	I01.png	1.37	0.547	 	185.1042226155599	25.45664034833971	0.7360502066356599	0.9456603961593855	0.5205919089933168	0.9801157815893419
I01_10_01.png	I01.png	4.37	0.657	 	30.901785956488716	33.23096780840037	0.9223160754593072	0.9984287348390847	0.3721010608023763	0.9988470171049663
I01_10_02.png	I01.png	3.93	0.854	 	35.33783467610677	32.64840426252595	0.9139331295997598	0.9978622767636618	0.3814049216276014	0.998505763262297
I01_10_03.png	I01.png	3.77	0.803	 	49.37537638346354	31.19569941638188	0.8880576448966199	0.9958680905607004	0.4063477816957951	0.9973869016513687
I01_10_04.png	I01.png	1.58	0.555	 	153.39839511447482	26.272595449092748	0.7439150108464608	0.9563770904051968	0.502183226018894	0.9839883015824488
I01_10_05.png	I01.png	1.17	0.373	 	304.2802378336589	23.298066138284895	0.6655878324083786	0.8956974941198595	0.5496070891541508	0.9680290491752448
I01_11_01.png	I01.png	4.03	0.948	 	64.41523573133681	30.040917604107186	0.6679347752684223	0.9968563404053823	0.3922443784999785	0.9977731137761268
I01_11_02.png	I01.png	3.27	0.814	 	127.64321051703558	27.07082641715151	0.5317409026706672	0.992737090622532	0.428690422656234	0.9956661488607031
