image_name	mos	 	mse	psnr	ssim	sg_essim	ffs	rsei
I01_01_1.bmp	5.51429	 	32.037534925672745	33.07421268229845	0.9202359344357803	0.9988167797909417	0.3071738413961556	0.44257917099437427
i01_01_2.bmp	5.56757	 	63.92943657769097	30.07379483937222	0.8639854272778429	0.9973802040593839	0.3391193331925601	0.378746282388507
i01_01_3.bmp	4.94444	 	129.7986297607422	26.998102530760534	0.7804709816123682	0.9940397993096831	0.37525960455611346	0.31477933132935165
i01_01_4.bmp	4.37838	 	257.9027557373047	24.01624378190574	0.6749125513133865	0.9868842354349358	0.4143977040973001	0.2570134623192914
i01_01_5.bmp	3.86486	 	514.6492462158203	21.015690198476705	0.5474584541506798	0.9735970254422869	0.456039049263287	0.20146909113624695
i01_02_1.bmp	6.02857	 	30.912745157877605	33.22942787251367	0.9244347434374	0.9997413233469065	0.2928269589054048	0.5728165354917367
i01_02_2.bmp	6.10811	 	61.6423831515842	30.23200940270337	0.8717468510555771	0.9994543220507989	0.32293428514464323	0.5084026723994183
i01_02_3.bmp	5.38889	 	123.78750440809462	27.204035533445776	0.7954707139086272	0.9988080312969793	0.35696641434998305	0.4408264703810354
i01_02_4.bmp	4.71429	 	244.50875006781683	24.247859553298564	0.6966031821186615	0.9973800525112256	0.39376123721668604	0.3782028383414153
i01_02_5.bmp	4.36111	 	489.78414577907984	21.23075637882602	0.5757184371479114	0.9939891745099801	0.43528456618402445	0.3151907584915065
i01_03_1.bmp	4.77143	 	31.90698920355903	33.09194535488905	0.928548272152943	0.9949408612691562	0.3658550054277122	0.4440188633017731
i01_03_2.bmp	4.27027	 	64.26011657714844	30.05138851778674	0.8761461191697372	0.9886313615050984	0.4052431019834232	0.37726711104973365
i01_03_3.bmp	3.70270	 	130.14234585232205	26.98661730119553	0.7990267218414492	0.9762395227123984	0.4463068728361487	0.315923548053104
i01_03_4.bmp	3.19444	 	258.6153683132595	24.004260314475594	0.6971658499999833	0.9559271795870877	0.4891898292190788	0.2561588354873661
i01_03_5.bmp	2.71429	 	513.9034881591797	21.021987953657643	0.5749853369096734	0.9301187611540292	0.5241976511824417	0.20089236670232313
i01_04_1.bmp	5.97143	 	32.581156412760414	33.00113866077502	0.9637967580299261	0.9997234730105582	0.24629949214337984	0.45764500158458377
i01_04_2.bmp	5.75676	 	66.23328314887152	29.92004077539304	0.9306437556611779	0.999408258343475	0.27157847738492386	0.3923839341440612
i01_04_3.bmp	5.27027	 	134.39378356933594	26.84701180126092	0.8722337036995363	0.9987351936441554	0.29977089007932034	0.3294231202821888
i01_04_4.bmp	5.24324	 	253.71074761284723	24.087414958137497	0.7893910478555825	0.9974250800616371	0.3284820036022094	0.2753910908147803
i01_04_5.bmp	4.71429	 	521.9542575412327	20.954479164248244	0.6557791041642667	0.9942070862019139	0.3654365960480587	0.21725034206110355
i01_05_1.bmp	5.91892	 	32.60574510362413	32.99786231751667	0.9181336764718121	0.9995321983123819	0.27129411667307435	0.4414303794174328
i01_05_2.bmp	5.70270	 	65.06065029568143	29.99761961030366	0.8611811762326037	0.9989994780173879	0.29793117749319625	0.37776087729534197
i01_05_3.bmp	5.08333	 	205.20157538519965	25.008996702250478	0.7119396951532928	0.9962261663390191	0.35143164365570384	0.27640351344524905
i01_05_4.bmp	4.13889	 	647.3809967041016	20.019204139441978	0.5024398466448169	0.9858480780155029	0.4149271395580254	0.18379177072207156
i01_05_5.bmp	3.13889	 	2048.390840318468	15.016675357129916	0.28103356655384215	0.957473363536875	0.48509235785304977	0.1065329103832388
